"section","item","published","computed","verdict","note"
"SUMMARY / ABSTRACT","Suspected cases with Ct value data","2724","2724","MATCH",""
"SUMMARY / ABSTRACT","False positives, Ct<40 (%, 95% CrI)","35.0% (31.0-39.0)","35.0% (30.9-38.9)","MATCH",""
"SUMMARY / ABSTRACT","False positive rate, Ct<37 cutoff","18.0% (16.0-20.0)","17.8% (15.7-19.7)","MATCH",""
"SUMMARY / ABSTRACT","False positive rate, Ct<34 cutoff","5.0% (3.0-6.0)","4.8% (3.4-6.3)","MATCH",""
"SUMMARY / ABSTRACT","Inferred FPs with no serological evidence","31 (88.6%)","31 (88.6%)","MATCH",""
"SUMMARY / ABSTRACT","Inferred true positives with serological evidence","20 (66.7%)","20 (66.7%)","MATCH",""
"METHODS","Environmental samples tested, Uvira","41","--","NO DATA","only the 11 OPXV-positive Uvira swabs are in EnvironmentalSamplingCts.csv"
"METHODS","Environmental samples tested, Kamituga","40","--","NO DATA","only the 23 OPXV-positive Kamituga swabs are in EnvironmentalSamplingCts.csv"
"METHODS","Participants in serological follow-up","118","118","MATCH",""
"METHODS","Cases in masked photo review","116","--","NO DATA","clinician review data (ratings, Likert scores) are not in this repo"
"METHODS","Age 20-29 reference group, n with Ct<40","695","695","MATCH",""
"METHODS","ROC Ct cutoffs evaluated (from-to)","20-40","20-40","MATCH",""
"METHODS","Reporting period, per site and overall","May 2, 2024-April 27, 2026","--","NO DATA","CaseCts.csv carries no collection dates; the table 1 periods are not recomputable"
"RESULTS -- STUDY POPULATION (paragraph 1)","Individuals with a qPCR result","4004","4004","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","With detectable OPXV DNA","2724","2724","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","  Goma","407","407","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","  Kamituga","1070","1070","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","  Kinshasa","696","696","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","  Uvira","551","551","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Analysed on GeneXpert","60%","60%","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Female","1278 (46.9%)","1278 (46.9%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Median age, years (range)","19 (0-79)","--","NO DATA","CaseCts.csv stores age_group only; numeric age is not shared"
"RESULTS -- STUDY POPULATION (paragraph 1)","Days symptom onset -> sampling, median (IQR)","6 (4-9)","6 (4-9)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Self-reported HIV positive","27 (1.0%)","27 (1.0%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Recent OPXV vaccination","65 (2.4%)","65 (2.4%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Sexual contact with suspected case","304 (11.2%)","304 (11.2%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Lesion swab","2098 (77.0%)","2098 (77.0%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Oropharyngeal swab","269 (9.9%)","269 (9.9%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Swab type unknown","357 (13.1%)","357 (13.1%)","MATCH",""
"RESULTS -- STUDY POPULATION (paragraph 1)","Paired lesion + oropharyngeal swabs","243","--","NO DATA","de-duplicated upstream of CaseCts.csv; no duplicate IDs remain"
"TABLE 1 -- Ct value data by location","Goma: Ct >0 (amplification)","407","407","MATCH",""
"TABLE 1 -- Ct value data by location","Goma: no amplification","314","314","MATCH",""
"TABLE 1 -- Ct value data by location","Kamituga: Ct >0 (amplification)","1070","1070","MATCH",""
"TABLE 1 -- Ct value data by location","Kamituga: no amplification","162","162","MATCH",""
"TABLE 1 -- Ct value data by location","Kinshasa: Ct >0 (amplification)","696","696","MATCH",""
"TABLE 1 -- Ct value data by location","Kinshasa: no amplification","303","303","MATCH",""
"TABLE 1 -- Ct value data by location","Uvira: Ct >0 (amplification)","551","551","MATCH",""
"TABLE 1 -- Ct value data by location","Uvira: no amplification","501","501","MATCH",""
"TABLE 1 -- Ct value data by location","Goma: n with Ct <34 / <37 / <40","222-362-407","222-362-407","MATCH",""
"TABLE 1 -- Ct value data by location","Goma: % with Ct <34 / <37 / <40","55-89-100","55-89-100","MATCH",""
"TABLE 1 -- Ct value data by location","Kamituga: n with Ct <34 / <37 / <40","659-737-902","659-737-902","MATCH",""
"TABLE 1 -- Ct value data by location","Kamituga: % with Ct <34 / <37 / <40","62-69-84","62-69-84","MATCH",""
"TABLE 1 -- Ct value data by location","Kinshasa: n with Ct <34 / <37 / <40","453-542-592","453-542-592","MATCH",""
"TABLE 1 -- Ct value data by location","Kinshasa: % with Ct <34 / <37 / <40","65-78-85","65-78-85","MATCH",""
"TABLE 1 -- Ct value data by location","Uvira: n with Ct <34 / <37 / <40","190-247-355","190-247-355","MATCH",""
"TABLE 1 -- Ct value data by location","Uvira: % with Ct <34 / <37 / <40","34-45-64","34-45-64","MATCH",""
"TABLE 1 -- Ct value data by location","Testing platform by site","RADI/GeneXpert/RADI/GeneXpert","RADI/GeneXpert/RADI/GeneXpert","MATCH","platform is not a column in CaseCts.csv; assignment taken from the paper"
"TABLE 1 -- Ct value data by location","No amplification, all sites (4004 - 2724)","1280","1280","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","All 150 cell counts","as printed","identical","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Days onset->sampling, Goma","5 (3-7)","5 (3-7)","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Days onset->sampling, Kamituga","7 (5-10)","7 (5-10)","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Days onset->sampling, Kinshasa","7 (5-9)","7 (5-9)","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Days onset->sampling, Uvira","4 (2-7)","4 (2-7)","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Days onset->sampling, Overall","6 (4-9)","6 (4-9)","MATCH",""
"TABLE 2 -- Demographic and clinical characteristics","Median age (IQR) row","19 (6-27) overall","--","NO DATA","numeric age not in CaseCts.csv; the table 2 row is hard-coded in Descriptives.R"
"RESULTS -- Ct VALUE DISTRIBUTIONS (paragraph 2)","Ct < 30","1305 (47.9%)","1305 (47.9%)","MATCH","the previous proof printed '479%'; corrected to 47.9% in this one"
"RESULTS -- Ct VALUE DISTRIBUTIONS (paragraph 2)","Ct 30-34","297 (10.9%)","297 (10.9%)","MATCH",""
"RESULTS -- Ct VALUE DISTRIBUTIONS (paragraph 2)","Ct 35-39","654 (24.0%)","654 (24.0%)","MATCH",""
"RESULTS -- Ct VALUE DISTRIBUTIONS (paragraph 2)","Ct >= 40","468 (17.2%)","468 (17.2%)","MATCH",""
"RESULTS -- Ct VALUE DISTRIBUTIONS (paragraph 2)","Considered confirmed cases (Ct<40)","2256 (82.8%)","2256 (82.8%)","MATCH",""
"RESULTS -- ENVIRONMENTAL SAMPLING","Uvira: n positive, Ct range","11 (37-45)","11 (37-45)","MATCH",""
"RESULTS -- ENVIRONMENTAL SAMPLING","Kamituga: n positive, Ct range","23 (31-43)","23 (31-43)","MATCH",""
"RESULTS -- ENVIRONMENTAL SAMPLING","Kamituga laboratory surfaces positive","12 of 13","--","NO DATA","surface/room metadata not shared"
"RESULTS -- ENVIRONMENTAL SAMPLING","Kamituga triage + patient rooms positive","10 of 11","--","NO DATA","surface/room metadata not shared"
"RESULTS -- ENVIRONMENTAL SAMPLING","Kamituga outside the MTU positive","1 of 16","--","NO DATA","surface/room metadata not shared"
"RESULTS -- ENVIRONMENTAL SAMPLING","Uvira negative controls positive","0 of 2","--","NO DATA","surface/room metadata not shared"
"RESULTS -- ENVIRONMENTAL SAMPLING","Uvira outside the MTU positive","0 of 2","--","NO DATA","surface/room metadata not shared"
"RESULTS -- LATENT CLASS MODEL","False positives among Ct<40","35.0% (31.0-39.0)","35.0% (30.9-38.9)","MATCH",""
"RESULTS -- LATENT CLASS MODEL","True infections among Ct<40 (Discussion)","65.0% (61.0-69.0)","65.0% (61.1-69.1)","MATCH",""
"RESULTS -- LATENT CLASS MODEL","Lowest site FP (Kinshasa)","26.0% (20.0-31.0)","25.7% (20.0-31.2)","MATCH",""
"RESULTS -- LATENT CLASS MODEL","Highest site FP (Goma)","54.0% (46.0-62.0)","54.3% (45.6-61.8)","MATCH",""
"RESULTS -- LATENT CLASS MODEL","Relaxed-prior sensitivity analysis","41% (39-44)","--","NO DATA","the relaxed-prior refit is not saved in this repo; rerun FitMainModel.R with those priors"
"RESULTS -- LATENT CLASS MODEL","Model comparison vs covariate-only model","worse on all metrics","--","NO DATA","NullCtModel.stan outputs are not saved; refit it to reproduce the comparison"
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 0-4 vs 20-29","2.55 (2.46-2.63)","2.55 (2.46-2.63)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 5-9 vs 20-29","2.90 (2.72-3.03)","2.90 (2.72-3.03)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 10-14 vs 20-29","2.72 (2.43-2.98)","2.72 (2.43-2.98)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 15-19 vs 20-29","1.94 (1.87-2.01)","1.94 (1.87-2.01)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 30-39 vs 20-29","0.90 (0.87-0.93)","0.90 (0.87-0.93)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 40+ vs 20-29","1.44 (1.37-1.50)","1.44 (1.37-1.50)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Children ~3x the risk of 20-29 (text claim)","approximately three times","2.55-2.90 across 0-14","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 0-4, P(false positive)","52% (47-56)","52% (47-56)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","  Age 20-29, P(false positive)","21% (19-22)","21% (19-22)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Oropharyngeal vs lesion swab","1.45 (1.32-1.55)","1.45 (1.32-1.55)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Recently vaccinated vs not","1.52 (1.27-1.64)","1.52 (1.27-1.64)","MATCH",""
"FIGURE 2 -- RELATIVE RISK OF A FALSE POSITIVE RESULT","Sexual contact vs none","0.22 (0.21-0.23)","0.22 (0.21-0.23)","MATCH",""
